Name,total_yield,chip_color,tuber_eye_depth,tuber_shape,tuber_size,tuber_length,tuber_width,sucrose,log10_glucose,log10_fructose,malic_acid,vine_maturity_95d,vine_maturity_120d,Grp1,Grp2,Grp3,Grp4
Rideau,14.04,3.2,3.57,2.68,6.13,87.34,73.79,9.06,0.089,0.46,3.42,4.75,2.25,1,0,0,0
RioGrandeRusset,13.71,2.89,3.03,4.73,4.75,114.68,60.42,7.7,-0.203,0.076,3.12,4.5,4,0,1,0,0
RochdaleGold-Doree,10.51,2.83,3.97,2.13,5.75,75.41,75.63,7.8,0.159,0.559,6.66,3.25,1,1,0,0,0
Rosa,16.63,2,4.23,2.95,5.25,86.91,72.3,7.19,-0.41,-0.27,2.29,4,4.5,0,0,1,0
RussetBurbank,7.18,2.67,2.89,4.64,5.31,125.59,59.95,7.22,-0.039,0.244,4.48,4.5,1.75,0,1,0,0
RussetNorkotah-S3,11.38,3.13,3.3,4.73,5.63,106.53,63.56,8.4,0.307,0.567,2.85,4.5,2.5,0,1,0,0
RussetNorkotah-S8,11.13,3.34,3.03,4.73,5.63,119.62,63.74,6.48,0.208,0.499,1.84,2.5,1,0,1,0,0
Salem,10.19,3.26,3.57,3.32,6.25,90.17,72.66,9.54,0.334,0.676,3.37,5,1.75,0,0,1,0
Satina,14.63,3.5,3.7,2.85,5.13,77.05,69.56,7.27,0.384,0.604,6.68,5,4.5,1,0,0,0
Sebago,13.61,2.8,3.97,2.81,6.13,94.98,71.53,6.44,0.671,0.79,4.13,6.25,5,0,0,1,0
SierraGold,10.55,2.48,3.57,3.18,5.25,85.74,73.16,6.58,-0.299,0.404,2.91,3.25,1,0.064,0,0.936,0
SilvertonRusset,11.61,2.29,3.03,5,6.5,123.71,65.4,5.31,-0.116,0.241,2.25,6,4.25,0,1,0,0
Snowden,14.24,1.24,5.43,2,5.25,72.73,74.66,4.62,-0.915,-0.698,2.03,5,4,0,0,1,0
Superior,12.63,2.61,5.03,3.36,5.38,90.61,71.78,6.96,0.224,0.609,2.62,2.5,1,0.995,0,0.005,0
TrailBlazerRusset(ROND95249-Russ),11.73,1.76,2.77,4.73,6.25,117.5,66.18,5.52,-0.576,-0.48,1.72,5.75,5,0,1,0,0
Tundra(W2310-3),12.53,1,3.97,2.95,5.63,82.86,73.5,4.76,-0.952,-0.797,2.61,4.5,3.75,0,0,1,0
UmatillaRusset,14.54,2.55,3.7,5,5.63,119.92,56.66,6.08,-0.078,0.061,2.43,5.5,4.5,0,1,0,0
V1102-1,13.72,3.24,3.97,4.32,5.88,102.28,65.74,11.16,0.369,0.727,4.6,4.5,4,0.999,0,0.001,0
V1115-3,11.9,2.54,3.83,4.59,5.75,113.08,68.97,5.53,-0.058,0.272,1.97,4,1,1,0,0,0
VillettaRose,12.51,2.87,3.03,2.41,3.38,73.34,65.01,5.28,0.002,0.408,2.36,5,3.25,1,0,0,0
W1151rus,12,3.2,3.03,5,6.13,113.9,60.58,7.87,0.537,0.79,5.81,4.5,1.75,0.005,0,0.995,0
W2253-5rus,8.78,3.17,3.03,4.73,5.13,108.65,62.92,8.4,0.259,0.542,3.63,5,4,0.997,0,0.003,0
W2309-7,10.34,1.07,3.7,3.05,4.63,81.7,70.85,4.25,-0.875,-0.757,1.53,2.5,1,0,0,1,0
W2683-2rus,11.99,2.09,2.77,4.86,6.27,118.82,60.92,7.77,-0.429,-0.145,7.39,5.5,4.5,0,1,0,0
W4013-1,9.17,1.07,3.3,2.54,3.25,71.94,68.82,5.06,-0.926,-0.69,1.04,2.5,2.5,0,0,1,0
WallowaRusset,8.76,2.52,3.3,5,5.25,122.54,57.15,7.17,-0.373,-0.082,3.33,4.5,2.5,0,1,0,0
Waneta(NY138),7.88,1,3.3,3.05,5.75,88.9,72.89,4.04,-0.89,-0.676,1.63,3.25,1.75,0.002,0,0.998,0
WesternRusset,13.28,3,3.03,4.73,6.13,110.84,64.16,6.76,-0.095,0.315,3.22,4.5,4,0,1,0,0
WhitePearl,13.73,1.03,4.98,2.4,3.63,70.76,66.19,3.49,-1.019,-0.807,2.68,4.5,2.88,0,0,1,0
Willamette,9.07,1.13,4,1.96,5.59,NA,NA,4.36,-0.886,-0.795,2.4,1.42,1.46,0,0,1,0
Winema,8.19,2.98,3.97,2.78,5.38,82.32,65.2,6.31,0.214,0.668,3.81,3,1.75,1,0,0,0
YankeeChipper,10.34,1.89,3.7,3.32,4.5,87.75,63.37,5.58,-0.549,0.002,2.35,3.75,1,0,0,1,0
YukonGem,14.92,2.07,3.03,3.32,5.5,91.88,68.27,5.57,-0.23,0.085,3.39,6,3.25,1,0,0,0
YukonGold,9.08,3.04,4.5,2.68,6.63,89.84,72.89,7.35,0.073,0.452,3.52,2.5,1,0.987,0,0.013,0
